time spent searching: 510
evaluation score,2391
students with the same teacher both terms,0
students never in 1st choice,0


, Fall 1, Fall 2, Fall 3, Fall 4, Fall 5
Spring 1,37,17,3,0,0,
Spring 2,16,0,0,0,0,
Spring 3,1,0,0,0,0,
Spring 4,0,0,0,0,0,
Spring 5,0,0,0,0,0,


Course name,F Graphic Novels,F Fairy Tales,F Detective Stories,F Speculative Fiction,F Historical Fiction,S Magical Realism,S Tall Tales,S Biographies,S Dystopian Fiction,S Legends and Mythology,
Teacher,Miriam Day,Inez Russell,Virginia Kidd,Alana Velazquez,Harriett Browning,Miriam Day,Inez Russell,Virginia Kidd,Alana Velazquez,Harriett Browning,
Students in class,12,12,17,17,16,16,12,12,17,17,
Gender diversity,0.4166666666666667,0.5,0.7058823529411765,0.5882352941176471,0.5625,0.625,0.6666666666666666,0.5,0.47058823529411764,0.5882352941176471,

,Hubert Hahn,Israel Calderon,Marcie Bullock,Rosanna Lopez,Sybil Alston,Ernestine Singleton,Isabel Warner,Lewis Dillard,Isabelle Ortega,Lorena Dudley,
,Alisha Nelson,Sherry Harmon,Bonnie Reeves,Iris Key,Lou Roy,Essie Carroll,Grover Burns,Eli Glover,Alba Sharp,Elliot Medina,
,Trudy Hubbard,Jeanine Wilkins,Bryant Moore,Aileen Dean,Essie Carroll,Samantha Rojas,Cameron Joyner,Dana Farley,Frankie Dunlap,Karen Soto,
,Dominic Goff,Bradley Shelton,Tricia Jacobson,Cameron Joyner,Chandra Brooks,Chandra Brooks,Jenna Porter,Jeanine Wilkins,Trudy Hubbard,Hubert Hahn,
,Erik Evans,Ernestine Singleton,Marlon Justice,Carlos Charles,Dena Leach,Aileen Dean,Alonzo Schroeder,Rosanna Lopez,Minerva Harrison,Katy Ford,
,Courtney Haney,Lucia David,Isabelle Ortega,Humberto Duke,Kitty Bradford,Marlon Justice,Francisco Stein,Alisha Nelson,Sherman Conley,Darrell Payne,
,Alba Sharp,Erma Tyson,Russel Hubbard,Jenna Porter,Rodolfo Burke,Russel Hubbard,Dominic Goff,Kitty Bradford,Stefanie Herman,Vicente Crosby,
,Lewis Dillard,Stefanie Herman,Emma Moore,Delia Finley,Abel Casey,Tricia Jacobson,Carlos Charles,Edgar Gay,Agnes Richard,Sherry Harmon,
,Alonzo Schroeder,Chester Wolf,Frankie Dunlap,Susanne Hodge,Edgar Gay,Rodolfo Burke,Janie Chapman,Lou Roy,Benito Humphrey,Erik Evans,
,Eli Glover,Myron Hooper,Agnes Richard,Elliot Medina,Sherman Conley,Patrice Simmons,Bryant Moore,Myron Hooper,Jacqueline Santana,Ruby Wise,
,Karyn Sweeney,Dana Farley,Patrice Simmons,Katy Ford,Katharine Crane,Gustavo Herman,Darin Palmer,Milagros Oliver,Erma Tyson,Marcie Bullock,
,Benito Humphrey,Samantha Rojas,Gustavo Herman,Lorena Dudley,Darin Palmer,Humberto Duke,Delia Finley,Sybil Alston,Karyn Sweeney,Courtney Haney,
,,,Darrell Payne,Gayle Buckley,Ronald Flynn,Ronald Flynn,,,Dena Leach,Emma Moore,
,,,Isabel Warner,Ernesto Wolf,Jacqueline Santana,Bonnie Reeves,,,Chester Wolf,Susanne Hodge,
,,,Karen Soto,Vicente Crosby,Janie Chapman,Abel Casey,,,Lucia David,Ernesto Wolf,
,,,Ruby Wise,Milagros Oliver,Grover Burns,Gayle Buckley,,,Katharine Crane,Iris Key,
,,,Minerva Harrison,Francisco Stein,,,,,Bradley Shelton,Israel Calderon,
,,,,,,,,,,,
